0,1,2,3
collision,1,commercial,02/05/2006
collision,1,commercial,08/27/2006
collision,1,commercial,12/05/2007
collision,1,commercial,06/08/2008
collision,1,commercial,06/18/2008
collision,1,commercial,01/04/2009
collision,1,commercial,04/09/2009
collision,1,commercial,07/15/2009
collision,1,commercial,08/11/2009
collision,1,commercial,08/25/2010
collision,1,commercial,08/20/2011
collision,1,commercial,11/10/2011
collision,1,commercial,04/02/2012
collision,1,commercial,04/20/2012
collision,1,commercial,12/29/2012
collision,1,commercial,07/06/2013
collision,1,commercial,10/03/2013
collision,1,commercial,09/20/2014
collision,1,commercial,12/28/2014
collision,1,commercial,03/24/2015
collision,1,commercial,06/25/2015
collision,1,commercial,10/31/2015
collision,1,commercial,01/08/2016
collision,1,commercial,07/22/2016
collision,1,commercial,08/05/2016
collision,1,commercial,10/24/2016
collision,1,commercial,11/28/2016
collision,1,commercial,02/11/2018
collision,1,commercial,02/11/2018
collision,1,commercial,03/12/2018
collision,1,commercial,09/27/1920
collision,1,commercial,06/25/1925
collision,1,commercial,01/05/1929
collision,1,commercial,04/21/1929
collision,1,commercial,11/06/1929
collision,1,commercial,01/19/1930
collision,1,commercial,02/03/1930
collision,1,commercial,01/08/1931
collision,1,commercial,12/05/1931
collision,1,commercial,12/31/1931
collision,1,commercial,02/02/1932
collision,1,commercial,09/08/1932
collision,1,commercial,11/25/1932
collision,1,commercial,12/14/1932
collision,1,commercial,01/10/1933
collision,1,commercial,05/31/1934
collision,1,commercial,07/09/1934
collision,1,commercial,05/06/1935
collision,1,commercial,09/28/1936
collision,1,commercial,12/27/1936
collision,1,commercial,07/28/1937
collision,1,commercial,08/03/1937
collision,1,commercial,08/10/1937
collision,1,commercial,02/09/1938
collision,1,commercial,04/30/1938
collision,1,commercial,05/16/1938
collision,1,commercial,05/24/1938
collision,1,commercial,07/22/1938
collision,1,commercial,12/09/1938
collision,1,commercial,08/13/1939
collision,1,commercial,04/22/1940
collision,1,commercial,01/23/1941
collision,1,commercial,02/06/1941
collision,1,commercial,04/21/1942
collision,1,commercial,05/19/1942
collision,1,commercial,09/28/1942
collision,1,commercial,10/22/1942
collision,1,commercial,10/24/1942
collision,1,commercial,01/21/1943
collision,1,commercial,07/28/1943
collision,1,commercial,08/27/1943
collision,1,commercial,10/15/1943
collision,1,commercial,12/18/1943
collision,1,commercial,09/18/1944
collision,1,commercial,01/14/1945
collision,1,commercial,04/09/1945
collision,1,commercial,09/07/1945
collision,1,commercial,06/29/1946
collision,1,commercial,09/07/1946
collision,1,commercial,09/27/1946
collision,1,commercial,10/08/1946
collision,1,commercial,11/11/1946
collision,1,commercial,11/26/1946
collision,1,commercial,12/25/1946
collision,1,commercial,01/05/1947
collision,1,commercial,01/25/1947
collision,1,commercial,02/05/1947
collision,1,commercial,06/04/1947
collision,1,commercial,06/11/1947
collision,1,commercial,07/25/1947
collision,1,commercial,08/21/1947
collision,1,commercial,08/23/1947
collision,1,commercial,10/16/1947
collision,1,commercial,11/13/1947
collision,1,commercial,01/06/1948
collision,1,commercial,01/11/1948
collision,1,commercial,02/20/1948
collision,1,commercial,02/25/1948
collision,1,commercial,03/13/1948
collision,1,commercial,04/15/1948
collision,1,commercial,05/20/1948
